country,day,flag_tsunami,id,location_name,month,region_code,Regions,state,year,Damage ($ Millions),damage_description,deaths_description,eq_mag_mb,eq_mag_mfa,eq_mag_ml,eq_mag_ms,eq_mag_mw,eq_mag_unk,focal_depth,hour,houses_damaged,houses_damaged_description,houses_destroyed_description,injuries_description,Intensity,latitude,longitude,Magnitude,minute,missing_description,Number of deaths,Number of Houses Destroyed,Number of Injuries,Number of Missing Persons,second,total_damage_description,total_damage_millions_dollars,total_deaths,total_deaths_description,total_houses_damaged,total_houses_damaged_description,total_houses_destroyed,total_houses_destroyed_description,total_injuries,total_injuries_description,total_missing,total_missing_description
USA,16,N,4060,NEVADA:  DIXIE VALLEY,12,North America and Hawaii,North America and Hawaii,NV,1954,0,0,0,0,0,0,0,0,7,0,11,0,0,0,0,10,39.3,-118.2,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,25,N,4061,CALIFORNIA:  TERMINAL ISLAND,1,North America and Hawaii,North America and Hawaii,CA,1955,3,2,0,0,0,0,0,0,0,0,12,0,0,0,0,4,33.8,-118.2,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,22,N,4118,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,3,North America and Hawaii,North America and Hawaii,AK,1957,0,0,0,0,0,0,0,0,7.5,0,14,0,0,0,0,5,55,-165.2,7.5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,4,N,4242,CALIFORNIA:  TERMINAL ISLAND,4,North America and Hawaii,North America and Hawaii,CA,1961,4.5,2,0,0,0,0,0,0,0,16,21,0,0,0,0,0,34,-118,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,21,Y,6326,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,12,North America and Hawaii,North America and Hawaii,AK,1962,0,0,0,0,0,0,0,0,6.5,33,8,0,0,0,0,0,52.47,-168.54,6.5,42,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0
USA,30,Y,4347,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,3,North America and Hawaii,North America and Hawaii,AK,1965,0,0,0,0,0,0,7.4,7.6,0,20,2,0,0,0,0,0,50.32,177.93,7.6,27,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0
USA,2,Y,6433,ALASKA:  ANDREANOF ISLANDS,5,North America and Hawaii,North America and Hawaii,AK,1971,0,0,0,6,0,0,7.1,0,0,43,6,0,0,0,0,6,51.4,-177.2,7.1,8,0,0,0,0,0,27.3,0,0,0,0,0,0,0,0,0,0,0,0
USA,6,Y,6438,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,11,North America and Hawaii,North America and Hawaii,AK,1971,0,0,0,6.8,0,0,5.7,0,0,2,22,0,0,0,0,0,51.5,179.1,5.7,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
USA,21,N,4626,CALIFORNIA:  OXNARD,2,North America and Hawaii,North America and Hawaii,CA,1973,1,2,0,5.7,0,5.9,5.7,0,0,8,14,0,0,0,0,7,34.1,-119,5.7,45,0,0,0,0,0,57.3,0,0,0,0,0,0,0,0,0,0,0,0
USA,2,N,4680,ALASKA:  ALEUTIAN ISLANDS:  NEAR ISLANDS,2,North America and Hawaii,North America and Hawaii,AK,1975,0,2,0,6.1,0,0,7.6,0,0,10,8,0,0,0,0,9,53.11,173.5,7.6,43,0,0,0,0,0,39.1,0,0,0,0,0,0,0,0,0,0,0,0
USA,13,N,4813,CALIFORNIA:  SOUTHERN,8,North America and Hawaii,North America and Hawaii,CA,1978,15,3,0,5.5,0,5.7,5.6,0,5.6,7,22,0,0,0,2,7,34.35,-119.7,5.6,54,0,0,0,65,0,53.5,0,0,0,0,0,0,0,0,0,0,0,0
USA,15,N,4847,CALIFORNIA:  IMPERIAL VALLEY; MEXICO: MEXICALI,10,North America and Hawaii,North America and Hawaii,CA,1979,30,4,0,5.7,0,6.4,6.9,0,0,10,23,0,0,0,2,9,32.634,-115.324,6.9,16,0,0,0,91,0,54.1,0,0,0,0,0,0,0,0,0,0,0,0
